iso3,country,region,subregion,developing,WB_region,WB_income_group,GDP_per_capita_PPP,girai,girai_raw,Gender Equality,Children's Rights,Cultural and Linguistic Diversity,Fairness and Non-discrimination,Transparency and Explainability,Human Oversight and Determination,Environmental Impact,Labour Protections,Reskilling and upskilling initiatives,AI Literacy,Safety and Security,Access to Redress and Remedy,Impact Assessments,AI-facilitated Misinformation and Violence,Public Sector Skills Development,Public Disclosure of Government Algorithmic Systems,Public Procurement,Civil Society Engagement in Inclusion and Diversity,Civil Society Engagement in Ethics and Sustainability,Civil Society Engagement in Labour and Skills,Civil Society Engagement in Trust and Safety,Government Mechanisms for CSO Inclusion in AI Policy and Governance,Egalitarian Democracy,Device affordability,Gender gap in mobile internet,Low-Carbon Energy Share,Rule of Law,Skills and Literacy,Labour Rights Compliance,Cybersecurity,Data Protection and Privacy,Data Sharing and Access,Consumer Protection,Global Peace,Civil Society Accountability,Public Service Delivery,Access to Public Information,URAI Penalty
MDA,Republic of Moldova,Europe,Eastern Europe,Developed,Europe & Central Asia,Upper middle income,18614.99,42.04,42.04,57.58,0,0,68.18,59.09,58.33,0,58.33,66.67,57.58,60.23,0,58.33,11.36,41.67,9.09,0,23.08,0,20.51,8.79,87.5,51.21,74.01,85.54,10.71,49.2,77.33,37.07,63.52,66.8,93.75,92.58,69.73,63.93,81.32,57.61,1
MEX,Mexico,South and Central America,Central America,Developing,Latin America & Caribbean ,Upper middle income,26185.36,27.95,29.11,11.36,70.45,0,22.73,12.12,11.36,0,38.64,15.15,9.09,12.5,13.64,12.88,33.24,0,0,0,53.85,30.77,41.03,21.98,0,30.07,75.34,95.88,24.58,25.31,80.53,28.92,85.05,83.4,37.5,77.12,36.71,62.2,89.24,57.4,0.96
MKD,North Macedonia,Europe,Balkans (South East Europe),Developed,Europe & Central Asia,Upper middle income,26995.43,37.28,37.28,0,9.09,0,0,62.5,0,0,9.09,80.3,71.21,0,0,67.05,0,39.39,0,9.09,30.77,67.69,82.05,43.96,40,43.12,87.34,100,39.46,47.67,73.87,49.75,64.18,66.8,87.5,96.82,75.21,65.89,81.53,40.43,1
MMR,Myanmar,Asia and Oceania,South East Asia,Developing,East Asia & Pacific,Lower middle income,5997.47,11.71,12.2,0,0,0,0,0,0,0,0,0,18.18,0,0,0,0,9.09,0,0,0,0,0,17.58,0,4.95,17.4,69.13,47.86,9.48,58.13,34.43,72.26,8.4,87.5,50.21,17.89,11.73,57.59,10.36,0.96
MNE,Montenegro,Europe,Balkans (South East Europe),Developed,Europe & Central Asia,Upper middle income,34062.76,27.65,28.8,9.09,0,9.09,9.09,9.09,9.09,0,0,18.18,40.53,9.09,0,9.09,0,27.27,0,0,7.69,53.85,20.51,17.58,40,58.57,65.04,95.35,59.49,57.45,74.93,65.5,73.57,66.8,87.5,94.49,80.45,81.43,53.69,42.12,0.96
MNG,Mongolia,Asia and Oceania,East Asia,Developing,East Asia & Pacific,Upper middle income,19144.73,20.68,20.68,9.09,0,0,9.09,9.09,9.09,9.09,0,9.09,9.09,9.09,9.09,9.09,0,9.09,9.09,9.09,0,0,10.26,0,0,44.2,29.3,100,8.84,50.68,79.47,40.45,54.19,58.4,37.5,81.78,78.89,71.77,80.61,37.58,1
MOZ,Mozambique,Africa,East Africa,Developing,Sub-Saharan Africa ,Low income,1705.38,13.49,13.49,0,0,9.09,0,0,0,0,0,9.09,9.09,9.09,0,0,18.18,0,0,0,7.69,0,0,8.79,0,20.77,17.98,44.83,83.43,24.32,32.27,18.66,64.37,40,12.5,68.64,53.4,50.44,41.95,5.31,1
MUS,Mauritius,Africa,East Africa,Developing,Sub-Saharan Africa ,Upper middle income,31839.76,26.29,26.29,0,0,0,34.09,33.33,32.58,0,0,55.68,26.14,0,0,0,0,0,0,0,0,0,0,0,0,67.63,46.42,84.62,17.89,68.45,72.8,51.45,100,91.8,87.5,78.81,85,87.97,95.04,37.61,1
MWI,Malawi,Africa,East Africa,Developing,Sub-Saharan Africa ,Low income,1857.62,19.91,19.91,0,0,0,0,0,97.73,0,0,0,9.09,18.18,0,67.42,0,0,0,0,0,0,20.51,0,0,36.35,18.21,15.38,95.63,49.56,36.53,35.77,79.44,16.8,12.5,92.16,68.03,69.51,35.49,19.33,1
MYS,Malaysia,Asia and Oceania,South East Asia,Developing,East Asia & Pacific,Upper middle income,38779.28,38.55,40.15,59.47,0,0,40.91,22.61,11.59,49.24,38.64,80.68,26.14,48.3,0,48.48,0,73.41,0,46.59,23.08,0,30.77,8.79,17.5,43.96,64.76,86.52,20.37,61.39,76,44.63,98.76,83.4,87.5,94.49,90.39,60.54,93.91,20.06,0.96
NER,Niger,Africa,West Africa,Developing,Sub-Saharan Africa ,Low income,2049.93,12.01,12.01,0,0,0,0,0,0,0,0,0,0,0,73.48,0,0,0,0,0,0,0,10.26,4.4,0,23.91,7.89,100,3.16,30.32,7.2,47.33,38.96,83.4,0,66.1,31.05,69.76,0.41,10.05,1
NGA,Nigeria,Africa,West Africa,Developing,Sub-Saharan Africa ,Lower middle income,9086.88,45.87,45.87,74.62,68.41,73.11,82.95,63.26,56.82,63.26,0,71.97,75.38,73.86,69.09,64.02,63.64,0,0,0,0,15.38,20.51,8.79,90,36.35,25.2,26.76,25,28.85,38.13,22.54,81.52,83.4,87.5,87.92,25.99,77.29,57.62,11.56,1
NLD,Netherlands,Europe,Western Europe,Developed,Europe & Central Asia,High income,86173.63,69.58,77.31,72.5,98.48,80.3,92.05,92.05,92.05,78.03,73.18,78.41,47.35,92.73,73.86,73.18,97.73,79.36,82.95,18.18,49.23,53.85,57.44,43.96,85,87.32,83.35,95.79,53.66,94.16,97.6,80.55,99.18,100,93.75,95.13,89.37,81.71,70.29,83.39,0.9
NOR,Norway,Europe,North Europe,Developed,Europe & Central Asia,High income,102037.53,74.66,74.66,72.5,80.3,66.7,73.86,73.86,73.86,70.08,73.18,66.7,66.02,74.55,73.86,73.18,79.55,69.32,63.81,64.83,38.46,15.38,51.28,39.56,40,100,89.63,93.94,98.61,100,92.27,100,96.87,66.8,100,97.67,82.34,96.25,79.83,100,1
NPL,Nepal,Asia and Oceania,South West Asia,Developing,South Asia,Lower middle income,5736.62,37.69,39.26,57.95,0,59.47,59.47,58.71,0,50,0,58.71,60.98,59.66,0,0,57.95,67.8,0,0,30.77,46.15,0,35.16,0,49.03,26.62,67.21,100,45.77,55.73,31.44,68.25,40,12.5,73.52,66.56,73.7,60.5,29.54,0.96
NZL,New Zealand,Asia and Oceania,Oceania (Pacific),Developed,East Asia & Pacific,High income,55551.14,46.12,46.12,0,9.09,46.21,58.71,48.48,47.73,0,0,61.74,44.32,37.5,10.61,47.73,11.36,9.09,48.3,41.48,30.77,46.15,30.77,17.58,0,85.75,84.96,95.7,85.98,93.21,93.33,78.85,81.75,66.8,37.5,64.62,98.99,87.69,86.04,90.17,1
OMN,Oman,Middle East,,Developing,"Middle East, North Africa, Afghanistan & Pakistan",High income,41740.17,35.56,35.56,57.58,54.55,69.32,70.45,60.61,57.58,0,0,0,0,69.89,0,58.33,0,31.82,0,68.18,0,0,0,0,2.5,19.08,56.29,8.22,4.89,63.9,82.13,27.23,96.85,58.4,87.5,84.53,78.01,29.47,82.98,30.97,1
PAK,Pakistan,Asia and Oceania,South West Asia,Developing,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,6252.12,38.93,40.55,66.67,0,0,0,64.39,65.91,0,0,75,67.42,67.05,64.39,64.39,63.64,74.24,64.77,0,15.38,7.69,30.77,0,47.5,12.92,39.53,24.97,50.27,28.6,47.2,2.19,96.53,58.4,87.5,98.73,29.3,58.66,82.77,11.67,0.96
PAN,Panama,South and Central America,Central America,Developing,Latin America & Caribbean ,High income,41369.42,25.56,25.56,9.85,0,9.09,13.64,11.36,9.85,9.85,9.85,9.09,9.09,10.23,10.61,11.36,0,9.85,0,0,0,15.38,0,21.98,31.25,52.78,83.32,77.78,67.98,46.74,71.2,60.69,64.87,50.2,87.5,78.6,65.69,79.19,69.24,39.82,1
PER,Peru,South and Central America,South America,Developing,Latin America & Caribbean ,Upper middle income,17802.42,50.06,50.06,62.05,61.36,0,64.77,64.77,63.41,62.05,63.41,61.36,64.77,62.9,0,64.09,62.39,80.91,0,0,15.38,38.46,0,8.79,47.5,44.93,45.24,89.61,60.11,40.91,79.47,38.87,82.77,75,87.5,70.55,62.6,66.72,96.69,39.18,1
PHL,Philippines,Asia and Oceania,South East Asia,Developing,East Asia & Pacific,Lower middle income,11794.14,32.98,32.98,37.88,19.7,20.45,40.91,62.12,22.73,18.94,19.7,19.7,31.06,5.4,21.97,22.73,21.02,5.68,0,65.91,0,30.77,20.51,8.79,8.75,18.48,19.56,100,20.47,39.27,67.47,29.53,93.16,100,87.5,90.89,59.15,65.18,79.6,39.79,1
POL,Poland,Europe,Central Europe,Developed,Europe & Central Asia,High income,51262.51,60.19,60.19,63.41,80.3,66.02,64.77,73.86,64.77,0,64.09,67.39,69.43,74.55,73.86,64.09,70.45,38.24,0,52.16,0,15.38,20.51,35.16,85,79.11,76.99,97.56,31.15,66.97,92.53,52.14,93.21,100,93.75,92.8,79.16,86.09,80.84,61.91,1
PRT,Portugal,Europe,Western Europe,Developed,Europe & Central Asia,High income,51679.89,60,62.5,63.41,80.3,75,73.86,64.77,73.86,0,64.09,70.45,76.14,74.55,73.86,64.09,79.55,53.79,0,0,38.46,53.85,20.51,4.4,40,72.22,76.54,97.78,85.19,78.89,94.13,56.33,99.85,100,100,97.46,94.89,84.66,97.03,49.34,0.96
