ranking,iso3,country,region,subregion,developing,WB_region,WB_income_group,GDP_per_capita_PPP,girai,girai_raw,urai_penalty,DIMENSIONS SCORES,__EMPTY,__EMPTY_1,__EMPTY_2,__EMPTY_3,PILLAR SCORES,__EMPTY_4,__EMPTY_5
,,,,,,,,,,,,Inclusion and Diversity (0-100),Ethics and Sustainability (0-100),Labour and Skills (0-100),Trust and Safety (0-100),AI Use in Public Service (0-100),AI Policy (0-100),CSO Engagement (0-100),Enabling Conditions (0-100)
105,BLZ,Belize,Caribbean,,Developing,Latin America & Caribbean ,Upper middle income,14346.52,17.79,17.79,1,19.24,28.31,16.64,13.19,11.59,4.56,0,50.18
106,ATG,Antigua and Barbuda,Caribbean,,Developing,Latin America & Caribbean ,High income,33386.19,17.65,17.65,1,25.96,11.35,24.89,12.9,13.16,1.06,0,56.72
107,UGA,Uganda,Africa,East Africa,Developing,Sub-Saharan Africa ,Low income,3273.27,17.01,17.71,0.96,4.36,28.24,9.15,33.23,13.59,5.62,4.18,46.41
108,BOL,Bolivia (Plurinational State of),South and Central America,South America,Developing,Latin America & Caribbean ,Lower middle income,12877.64,16.65,17.35,0.96,16.71,14.2,14.39,21.59,19.84,2.95,10.77,48.32
109,LCA,Saint Lucia,Caribbean,,Developing,Latin America & Caribbean ,Upper middle income,27567.33,16.46,16.46,1,21.55,10.15,18.53,11.94,20.13,0.61,0,53.66
110,TUN,Tunisia,Africa,North Africa,Developing,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,14521.01,16.37,16.37,1,19.22,9.61,13.46,23.52,16.04,0,16.04,49.22
111,BLR,Belarus,Europe,Eastern Europe,Developed,Europe & Central Asia,Upper middle income,33010.33,15.64,17.19,0.91,16.67,11.43,25.53,23.06,9.25,2.78,20.15,45.01
112,HND,Honduras,South and Central America,Central America,Developing,Latin America & Caribbean ,Lower middle income,7486.02,15.64,15.64,1,15.7,12.03,16.57,15.36,18.52,0.61,5.86,48.95
113,ZWE,Zimbabwe,Africa,East Africa,Developing,Sub-Saharan Africa ,Lower middle income,5928.08,15.18,15.18,1,15.19,16.77,14.6,16.49,12.83,1.21,15.38,43.04
114,SLE,Sierra Leone,Africa,West Africa,Developing,Sub-Saharan Africa ,Low income,3522.31,14.91,14.91,1,13.53,19.22,10.3,14.8,16.72,1.21,10.26,43.87
115,LBN,Lebanon,Middle East,,Developing,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,12574.83,14.49,14.49,1,14.6,15.23,18.35,11.14,13.11,0.86,12.16,42.51
116,LAO,Lao People's Democratic Republic,Asia and Oceania,South East Asia,Developing,East Asia & Pacific,Lower middle income,9775.83,14.45,14.45,1,13.36,16.79,15.94,19.07,7.11,0.61,2.05,46.28
117,TGO,Togo,Africa,West Africa,Developing,Sub-Saharan Africa ,Low income,3365.46,14.4,14.4,1,9.99,11.65,17.78,19.21,13.35,1.82,4.62,42.81
118,GIN,Guinea,Africa,West Africa,Developing,Sub-Saharan Africa ,Lower middle income,4565.3,13.72,13.72,1,11.75,15.1,10.48,18.51,12.76,0.61,0,44.52
119,CMR,Cameroon,Africa,Central Africa,Developing,Sub-Saharan Africa ,Lower middle income,5588.99,13.53,13.53,1,15.18,14.41,12.95,14.46,10.66,0.61,2.05,43.21
120,MOZ,Mozambique,Africa,East Africa,Developing,Sub-Saharan Africa ,Low income,1705.38,13.49,13.49,1,10.95,16.16,11.28,19.31,9.77,3.18,3.3,37.51
121,BFA,Burkina Faso,Africa,West Africa,Developing,Sub-Saharan Africa ,Low income,2895.89,13.11,13.11,1,3.24,7.35,10.33,29.48,15.15,2.86,16.06,32.62
122,LBR,Liberia,Africa,West Africa,Developing,Sub-Saharan Africa ,Low income,1871.04,13.01,13.01,1,11.7,12.99,8.22,16.52,15.62,0,0,43.36
123,DZA,Algeria,Africa,North Africa,Developing,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,17620.74,12.84,12.84,1,10.61,5.61,17.06,19.26,11.68,1.21,0,40.38
124,SOM,Somalia,Africa,East Africa,Developing,Sub-Saharan Africa ,Low income,1601.96,12.05,12.05,1,6.36,11.73,5.34,28.92,7.88,9.6,0,20.95
125,NER,Niger,Africa,West Africa,Developing,Sub-Saharan Africa ,Low income,2049.93,12.01,12.01,1,13.18,5.02,9.2,24.63,8.02,3.67,2.93,31.72
